Date,Open,High,Low,Close,Adj Close,Volume
2008-08-11,826.400024,831.900024,780.900024,786.000000,786.000000,455
2008-08-18,792.000000,836.599976,789.599976,827.400024,827.400024,277
2008-08-25,819.799988,842.599976,819.799988,829.299988,829.299988,1228
2008-09-01,829.900024,840.700012,790.799988,797.599976,797.599976,374
2008-09-08,811.000000,813.200012,739.000000,760.299988,760.299988,210
2008-09-15,778.099976,910.900024,764.000000,860.599976,860.599976,218
2008-09-22,888.799988,908.099976,879.500000,882.900024,882.900024,14176
2008-09-29,871.299988,919.000000,823.000000,828.900024,828.900024,4816
2008-10-06,828.799988,925.700012,826.000000,855.400024,855.400024,1041
2008-10-13,861.099976,861.099976,773.799988,785.099976,785.099976,443
2008-10-20,803.799988,803.799988,681.000000,729.099976,729.099976,482
2008-10-27,742.799988,774.000000,712.000000,716.799988,716.799988,405
2008-11-03,728.799988,760.000000,726.000000,733.200012,733.200012,115
2008-11-10,749.000000,753.599976,707.000000,742.400024,742.400024,1083
2008-11-17,741.900024,784.099976,734.000000,791.700012,791.700012,159
2008-11-24,819.900024,824.000000,806.799988,816.200012,816.200012,376422
2008-12-01,817.200012,817.299988,740.000000,750.500000,750.500000,6117
2008-12-08,755.000000,832.099976,754.200012,818.900024,818.900024,1351
2008-12-15,828.000000,880.799988,824.000000,836.400024,836.400024,1013
2008-12-22,848.500000,872.400024,835.000000,870.400024,870.400024,518
2008-12-29,882.900024,883.599976,858.400024,878.799988,878.799988,646
2009-01-05,882.000000,883.500000,837.700012,854.299988,854.299988,627
2009-01-12,844.400024,844.400024,805.599976,839.299988,839.299988,177
2009-01-19,838.700012,899.099976,824.000000,895.299988,895.299988,166
2009-01-26,907.299988,930.299988,874.200012,927.299988,927.299988,214404
2009-02-02,924.299988,928.799988,889.799988,913.900024,913.900024,6240
2009-02-09,910.000000,952.799988,891.799988,941.500000,941.500000,2600
2009-02-16,939.500000,1004.900024,937.299988,1001.799988,1001.799988,2482
2009-02-23,995.599976,996.500000,928.099976,941.500000,941.500000,2894
2009-03-02,945.000000,963.200012,900.099976,942.099976,942.099976,1440
2009-03-09,940.500000,940.500000,892.099976,929.799988,929.799988,1366
2009-03-16,926.400024,960.799988,885.000000,955.799988,955.799988,690
2009-03-23,950.700012,952.599976,920.799988,923.000000,923.000000,108556
2009-03-30,924.599976,932.500000,891.299988,895.599976,895.599976,74904
2009-04-06,895.000000,895.000000,865.099976,882.200012,882.200012,1952
